,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,description,contentAdvisoryRating,copyright,collectionArtistName,collectionArtistId,trackRentalPrice,collectionHdPrice,trackHdPrice,trackHdRentalPrice,shortDescription,longDescription
0,track,song,5621730.0,1025317255.0,1025317599.0,Devendra Banhart,Cripple Crow,The Beatles,Cripple Crow,The Beatles,https://music.apple.com/us/artist/devendra-banhart/5621730?uo=4,https://music.apple.com/us/album/the-beatles/1025317255?i=1025317599&uo=4,https://music.apple.com/us/album/the-beatles/1025317255?i=1025317599&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/44/c1/98/44c198a8-2a9c-dea6-d575-36141138edd6/mzaf_1061800412585949492.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music112/v4/d8/f6/38/d8f63862-1fc0-184e-a4dc-76788524f6e1/634904019204.png/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music112/v4/d8/f6/38/d8f63862-1fc0-184e-a4dc-76788524f6e1/634904019204.png/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music112/v4/d8/f6/38/d8f63862-1fc0-184e-a4dc-76788524f6e1/634904019204.png/100x100bb.jpg,9.99,1.29,2005-09-13T12:00:00Z,notExplicit,notExplicit,1.0,1.0,22.0,10.0,104413.0,USA,USD,Alternative,True,,,,,,,,,,,
1,audiobook,,160778930.0,1439484338.0,,Bob Spitz,The Beatles (Abridged),,The Beatles (Abridged),,https://books.apple.com/us/author/bob-spitz/id160778930?uo=4,https://books.apple.com/us/audiobook/the-beatles-abridged/id1439484338?uo=4,,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/8a/3b/60/8a3b60b6-8b98-ec66-4193-2410ade915b6/mzaf_3719604921631393408.std.aac.p.m4a,,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/69/b8/65/69b86591-ce4b-9bd0-ab71-3808d0ea06dc/9780743552455.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/69/b8/65/69b86591-ce4b-9bd0-ab71-3808d0ea06dc/9780743552455.jpg/100x100bb.jpg,16.99,,2005-11-01T08:00:00Z,notExplicit,,,,1.0,,,USA,USD,Biographies & Memoirs,,"<b>2007 Audie Award Winner for Non-Fiction, Abridged</b><br /><br />Even before the Beatles hit the big time, a myth was created. This version of the Beatles legend smoothed the rough edges and filled in the fault lines, and for more than forty years this manicured version of the Beatles story has sustained as truth -- until now.<br /> The product of almost a decade of research, hundreds of unprecedented interviews, and the discovery of scores of never-before-revealed documents, Bob Spitz's <i>The Beatles</i> is the biography fans have been waiting for.<br /> Never before has a biography of musicians been so immersive and textured. We are there in the McCartney living room when Paul and John learn to write songs together; backstage the night Ringo takes over on drums; in seedy German strip clubs where George lies about his age so the band can perform; and at the <i>Ed Sullivan Show</i> as America discovers the joy and the madness. From Shea to San Francisco, through the London night, on to India, through marmalade skies, across the universe-all the way to a rooftop concert and one last moment of laughter and music.<br /> It is all here, the highs and the lows, the love and the rivalry, the drugs, the tears, the thrill, the magic never again to be repeated. Bob Spitz's masterpiece is, at long last, the biography the Beatles deserve.",,,,,,,,,,
2,track,song,829356035.0,1440844129.0,1440844145.0,Rae Sremmurd,SremmLife 2 (Deluxe),Black Beatles (feat. Gucci Mane),SremmLife 2 (Deluxe),Black Beatles (feat. Gucci Mane),https://music.apple.com/us/artist/rae-sremmurd/829356035?uo=4,https://music.apple.com/us/album/black-beatles-feat-gucci-mane/1440844129?i=1440844145&uo=4,https://music.apple.com/us/album/black-beatles-feat-gucci-mane/1440844129?i=1440844145&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/cd/2d/9f/cd2d9f55-9e15-ee47-6ff2-14e433953ace/mzaf_1623751852446098504.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music112/v4/ca/a9/3c/caa93c10-c9b5-f7c4-9e3c-915a086130da/16UMGIM21220.rgb.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music112/v4/ca/a9/3c/caa93c10-c9b5-f7c4-9e3c-915a086130da/16UMGIM21220.rgb.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music112/v4/ca/a9/3c/caa93c10-c9b5-f7c4-9e3c-915a086130da/16UMGIM21220.rgb.jpg/100x100bb.jpg,10.99,1.29,2016-08-12T12:00:00Z,explicit,explicit,1.0,1.0,14.0,5.0,291891.0,USA,USD,Hip-Hop/Rap,True,,Explicit,,,,,,,,,
3,track,song,136975.0,1441133180.0,1441133834.0,The Beatles,The Beatles (The White Album),Blackbird,The Beatles (The White Album),Blackbird,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/blackbird/1441133180?i=1441133834&uo=4,https://music.apple.com/us/album/blackbird/1441133180?i=1441133834&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/10/e8/96/10e89630-4b7b-77d4-af63-829d597340ba/mzaf_842543440499453757.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/100x100bb.jpg,19.99,1.29,1968-11-22T12:00:00Z,notExplicit,notExplicit,3.0,1.0,17.0,11.0,138387.0,USA,USD,Rock,True,,,,,,,,,,,
4,track,song,157458.0,282495289.0,282495296.0,Daniel Johnston,Yip! Jump Music,The Beatles,Yip! Jump Music,The Beatles,https://music.apple.com/us/artist/daniel-johnston/157458?uo=4,https://music.apple.com/us/album/the-beatles/282495289?i=282495296&uo=4,https://music.apple.com/us/album/the-beatles/282495289?i=282495296&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e6/81/31/e68131e4-2889-d027-d1e2-6755e56fd434/mzaf_13627254640725098082.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/c7/24/19/mzi.hsrvxuky.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/c7/24/19/mzi.hsrvxuky.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/c7/24/19/mzi.hsrvxuky.jpg/100x100bb.jpg,9.99,0.99,1983-05-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,20.0,2.0,145453.0,USA,USD,Alternative,True,,,,,,,,,,,
5,track,song,136975.0,1441133100.0,1441133277.0,The Beatles,The Beatles 1967-1970 (The Blue Album),Hey Jude,The Beatles 1967-1970 (The Blue Album),Hey Jude,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hey-jude/1441133100?i=1441133277&uo=4,https://music.apple.com/us/album/hey-jude/1441133100?i=1441133277&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/3b/ef/5e/3bef5efe-973b-7680-18b2-5298380fbbe2/mzaf_4619540348412185632.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/100x100bb.jpg,19.99,1.29,1968-08-26T12:00:00Z,notExplicit,notExplicit,2.0,1.0,14.0,13.0,431333.0,USA,USD,Rock,True,,,,,,,,,,,
6,track,song,157458.0,1558590212.0,1558590540.0,Daniel Johnston,Yip Jump Music,The Beatles,Yip Jump Music,The Beatles,https://music.apple.com/us/artist/daniel-johnston/157458?uo=4,https://music.apple.com/us/album/the-beatles/1558590212?i=1558590540&uo=4,https://music.apple.com/us/album/the-beatles/1558590212?i=1558590540&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/0e/13/d8/0e13d8e1-d1a9-75d7-5c29-62744288f706/mzaf_14447960789798372824.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f7/c2/61/f7c26172-f8d9-d208-013e-4ce32f768c99/196006264925.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f7/c2/61/f7c26172-f8d9-d208-013e-4ce32f768c99/196006264925.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f7/c2/61/f7c26172-f8d9-d208-013e-4ce32f768c99/196006264925.jpg/100x100bb.jpg,9.99,1.29,1983-05-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,20.0,2.0,145639.0,USA,USD,Alternative,True,,,,,,,,,,,
7,track,song,136975.0,1441133180.0,1441133644.0,The Beatles,The Beatles (The White Album),While My Guitar Gently Weeps,The Beatles (The White Album),While My Guitar Gently Weeps,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/while-my-guitar-gently-weeps/1441133180?i=1441133644&uo=4,https://music.apple.com/us/album/while-my-guitar-gently-weeps/1441133180?i=1441133644&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/85/aa/2c/85aa2cd7-f2bb-dd20-48c4-5172a3e44c54/mzaf_16441741399674871731.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/100x100bb.jpg,19.99,1.29,1968-11-22T12:00:00Z,notExplicit,notExplicit,3.0,1.0,17.0,7.0,285000.0,USA,USD,Rock,True,,,,,,,,,,,
8,track,song,136975.0,1441133180.0,1441133613.0,The Beatles,The Beatles (The White Album),"Ob-La-Di, Ob-La-Da",The Beatles (The White Album),"Ob-La-Di, Ob-La-Da",https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/ob-la-di-ob-la-da/1441133180?i=1441133613&uo=4,https://music.apple.com/us/album/ob-la-di-ob-la-da/1441133180?i=1441133613&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/9e/c4/f1/9ec4f117-0f5d-7c98-6980-78c25f156803/mzaf_9913753645447874881.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/fa/5b/89/fa5b898d-bad6-e053-4195-260e5c74f2bb/00602567725466.rgb.jpg/100x100bb.jpg,19.99,1.29,1968-11-22T12:00:00Z,notExplicit,notExplicit,3.0,1.0,17.0,4.0,188960.0,USA,USD,Rock,True,,,,,,,,,,,
9,track,song,136975.0,1441133100.0,1441133279.0,The Beatles,The Beatles 1967-1970 (The Blue Album),Revolution,The Beatles 1967-1970 (The Blue Album),Revolution,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/revolution/1441133100?i=1441133279&uo=4,https://music.apple.com/us/album/revolution/1441133100?i=1441133279&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/29/6d/bc/296dbc4e-e185-5efc-ae23-d6edfbe5f8dc/mzaf_14070914608335113794.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/100x100bb.jpg,19.99,1.29,1968-08-26T12:00:00Z,notExplicit,notExplicit,2.0,1.0,14.0,14.0,203292.0,USA,USD,Rock,True,,,,,,,,,,,
